ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year,
192,24.4258,0.0,-0.34275,0.0,-0.003688,0.33333,0.333351,0.286828,-0.011055,60.2027,2018,0,
193,24.4293,0.0,-0.294358,0.0,-0.003967,-0.024954,0.186573,-0.023595,-0.019038,59.651,2018,0,
194,24.4329,0.0,-0.576316,0.0,-0.004151,0.208999,0.225798,0.178923,-0.018912,60.2443,2018,0,
195,24.437,0.0,-0.381402,0.0,-0.00412,0.081713,0.2705,0.068706,-0.013724,60.2389,2018,0,
196,24.44,0.0,-1.27367,0.0,-0.003585,0.136909,0.1527,0.116774,-0.029064,59.472,2018,0,
197,24.4447,0.0,-1.61039,0.0,-0.004323,-0.214209,0.246298,-0.187672,-0.023747,59.9695,2018,0,
198,24.4484,0.0,-0.814774,0.0,-0.004646,0.137839,0.151209,0.117049,-0.086509,60.3927,2018,0,
199,24.452,0.0,0.682417,0.0,-0.003996,-0.002684,0.221607,-0.004323,-0.1458,60.7811,2018,0,
200,24.4558,0.0,-0.213867,0.0,-0.004375,-0.002613,0.183676,-0.004451,-0.161186,59.9787,2018,0,
201,24.4594,0.0,-0.246612,0.0,-0.004021,0.241948,0.246879,0.207522,-0.02356,60.4338,2018,0,
202,24.4631,0.0,-1.47681,0.0,-0.0037,0.034621,0.214982,0.028133,-0.055151,60.0525,2018,0,
203,24.4675,0.0,0.276862,0.0,-0.004633,0.151879,0.267727,0.129214,-0.027156,60.0908,2018,0,
204,24.4711,0.0,-0.432216,0.0,-0.00383,0.282241,0.284196,0.242513,-0.030552,60.4423,2018,0,
205,24.4746,0.0,0.350298,0.0,-0.004059,0.031536,0.259078,0.025282,-0.023997,59.4947,2018,0,
206,24.4789,0.0,-0.85621,0.0,-0.004417,0.208943,0.209083,0.178741,-0.063084,59.8969,2018,0,
207,24.4818,0.0,-0.776399,0.0,-0.004374,-0.046645,0.256413,-0.042583,-0.107308,60.0908,2018,0,
208,24.4862,0.0,-0.364633,0.0,-0.00415,0.265583,0.285734,0.227927,-0.016555,59.9562,2018,0,
209,24.4898,0.0,-0.673177,0.0,-0.004214,0.215487,0.226513,0.18451,-0.022027,59.4135,2018,0,
210,24.4937,0.0,-0.773875,0.0,-0.004022,0.058257,0.269399,0.048441,-0.014172,60.0651,2018,0,
211,24.4978,0.0,-0.130439,0.0,-0.004616,0.036527,0.27748,0.029325,-0.020135,59.9717,2018,0,
212,24.5013,0.0,-1.03713,0.0,-0.004279,0.207914,0.217847,0.177919,-0.015219,60.0019,2018,0,
213,24.5052,0.0,-1.10519,0.0,-0.004127,0.267112,0.276722,0.229262,-0.014039,60.9867,2018,0,
214,24.5085,0.0,-1.59286,0.0,-0.004186,0.059061,0.193161,0.049056,-0.034775,60.3039,2018,0,
